type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Re_cleaned,Rct_cleaned
charge,[2010.       8.       6.       9.      49.      49.937],4,B0047,119,120,00120.csv,,,,,
discharge,[2010    8    6   12   51   21],4,B0047,120,121,00121.csv,1.1236364680969286,,,,
impedance,[2010.       8.       6.      14.      11.      12.234],24,B0047,121,122,00122.csv,,0.0711735801764843,0.236859829667432,0.0711735801764843,0.236859829667432
charge,[2010.       8.       6.      14.      43.       7.578],4,B0047,122,123,00123.csv,,,,,
impedance,[2010.       8.       6.      17.      48.      41.937],24,B0047,123,124,00124.csv,,0.067042457422244,0.2239461958000678,0.067042457422244,0.2239461958000678
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0047,124,125,00125.csv,1.1320498900328944,,,,
charge,[2010.       8.       6.      19.      36.      20.187],4,B0047,125,126,00126.csv,,,,,
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0047,126,127,00127.csv,1.1170101762158153,,,,
charge,[2010.      8.      6.     23.     53.     10.89],4,B0047,127,128,00128.csv,,,,,
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0047,128,129,00129.csv,1.120043039721982,,,,
charge,[2010.       8.       7.       4.       9.      31.812],4,B0047,129,130,00130.csv,,,,,
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0047,130,131,00131.csv,1.1059773445917063,,,,
charge,[2010.       8.       7.       8.      25.      18.796],4,B0047,131,132,00132.csv,,,,,
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0047,132,133,00133.csv,0,,,,
impedance,[2010.       8.       7.      12.      32.      26.234],24,B0047,133,134,00134.csv,,0.0702326096411188,0.2432324327186061,0.0702326096411188,0.2432324327186061
charge,[2010.       8.       7.      13.       4.      21.953],4,B0047,134,135,00135.csv,,,,,
impedance,[2010.      8.      7.     16.      9.     53.89],24,B0047,135,136,00136.csv,,0.067687003462409,0.2222905077928191,0.067687003462409,0.2222905077928191
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0047,136,137,00137.csv,1.1907902374762016,,,,
impedance,[2010.       8.      10.      17.       4.      18.343],24,B0047,137,138,00138.csv,,0.0716197799879309,0.2340372441129465,0.0716197799879309,0.2340372441129465
charge,[2010.       8.      10.      17.      36.      14.109],4,B0047,138,139,00139.csv,,,,,
impedance,[2010.       8.      10.      20.      41.      53.921],24,B0047,139,140,00140.csv,,0.0706810853533824,0.1952852162273827,0.0706810853533824,0.1952852162273827
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0047,140,141,00141.csv,1.2012387088454022,,,,
charge,[2010.       8.      10.      22.      33.      31.875],4,B0047,141,142,00142.csv,,,,,
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0047,142,143,00143.csv,1.1906909549024802,,,,
charge,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,B0047,143,144,00144.csv,,,,,
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0047,144,145,00145.csv,1.1764375730308343,,,,
charge,[2010.       8.      11.       7.      12.      27.125],4,B0047,145,146,00146.csv,,,,,
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0047,146,147,00147.csv,1.1628110372792353,,,,
charge,[2010.       8.      11.      11.      31.      14.703],4,B0047,147,148,00148.csv,,,,,
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0047,148,149,00149.csv,1.1516152840582585,,,,
impedance,[2010.     8.    11.    15.    53.    17.5],24,B0047,149,150,00150.csv,,0.0750956100467301,0.2385800609634128,0.0750956100467301,0.2385800609634128
charge,[2010.       8.      11.      16.      25.      13.593],4,B0047,150,151,00151.csv,,,,,
impedance,[2010.       8.      11.      19.      30.      44.109],24,B0047,151,152,00152.csv,,0.0721616439691655,0.2134680518392546,0.0721616439691655,0.2134680518392546
discharge,[2010.       8.      12.      12.      34.      22.109],4,B0047,152,153,00153.csv,1.1583673498348623,,,,
impedance,[2010    8   12   13   55   19],24,B0047,153,154,00154.csv,,0.0744699239483102,0.2288137104158401,0.0744699239483102,0.2288137104158401
charge,[2010.      8.     12.     14.     27.     15.14],4,B0047,154,155,00155.csv,,,,,
impedance,[2010.       8.      12.      17.      32.      50.875],24,B0047,155,156,00156.csv,,0.0720657836981216,0.216996572598658,0.0720657836981216,0.216996572598658
discharge,[2010.       8.      12.      18.       4.      47.218],4,B0047,156,157,00157.csv,1.1692285288386206,,,,
charge,[2010.       8.      12.      19.      22.      39.406],4,B0047,157,158,00158.csv,,,,,
discharge,[2010.       8.      12.      22.      24.      12.484],4,B0047,158,159,00159.csv,1.1588148476218465,,,,
charge,[2010.       8.      12.      23.      40.      56.125],4,B0047,159,160,00160.csv,,,,,
discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0047,160,161,00161.csv,1.1439588147705457,,,,
charge,[2010.       8.      13.       3.      58.       7.187],4,B0047,161,162,00162.csv,,,,,
discharge,[2010.       8.      13.       6.      59.      39.343],4,B0047,162,163,00163.csv,1.1383941068159398,,,,
charge,[2010.       8.      13.       8.      14.      54.843],4,B0047,163,164,00164.csv,,,,,
discharge,[2010.       8.      13.      11.      16.      29.328],4,B0047,164,165,00165.csv,0,,,,
impedance,[2010.       8.      13.      11.      55.      20.859],24,B0047,165,166,00166.csv,,0.0758815557984306,0.2171697337937444,0.0758815557984306,0.2171697337937444
charge,[2010.       8.      13.      12.      27.      18.593],4,B0047,166,167,00167.csv,,,,,
impedance,[2010.       8.      13.      15.      32.      55.359],24,B0047,167,168,00168.csv,,0.07280052727114,0.2167410015359882,0.07280052727114,0.2167410015359882
discharge,[2010.       8.      16.      10.      57.       7.937],4,B0047,168,169,00169.csv,1.2213102850395667,,,,
impedance,[2010.       8.      16.      12.      24.      17.453],24,B0047,169,170,00170.csv,,0.072277377144606,0.237074828149039,0.072277377144606,0.237074828149039
charge,[2010.       8.      16.      12.      56.      14.546],4,B0047,170,171,00171.csv,,,,,
impedance,[2.0100e+03 8.0000e+00 1.6000e+01 1.6000e+01 1.0000e+00 5.2046e+01],24,B0047,171,172,00172.csv,,0.0727832837778209,0.2152059866676978,0.0727832837778209,0.2152059866676978
discharge,[2010.       8.      16.      16.      33.      48.968],4,B0047,172,173,00173.csv,1.2031062978889062,,,,
charge,[2010.       8.      16.      17.      53.      19.203],4,B0047,173,174,00174.csv,,,,,
discharge,[2010.       8.      16.      20.      54.      56.609],4,B0047,174,175,00175.csv,1.1897147112197684,,,,
charge,[2010.       8.      16.      22.      13.       2.812],4,B0047,175,176,00176.csv,,,,,
discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0047,176,177,00177.csv,1.177422568842014,,,,
charge,[2010    8   17    2   32   20],4,B0047,177,178,00178.csv,,,,,
discharge,[2010.       8.      17.       5.      33.      53.718],4,B0047,178,179,00179.csv,1.158443027293818,,,,
charge,[2010.       8.      17.       6.      50.      25.203],4,B0047,179,180,00180.csv,,,,,
discharge,[2010.       8.      17.       9.      52.       5.375],4,B0047,180,181,00181.csv,1.1567087516841796,,,,
impedance,[2.010e+03 8.000e+00 1.700e+01 1.100e+01 1.200e+01 1.125e+00],24,B0047,181,182,00182.csv,,0.0743636023926656,0.2340863184447017,0.0743636023926656,0.2340863184447017
charge,[2010.       8.      17.      11.      43.      58.265],4,B0047,182,183,00183.csv,,,,,
impedance,[2010.       8.      17.      14.      49.      38.671],24,B0047,183,184,00184.csv,,0.0730046997209305,0.2217136663529148,0.0730046997209305,0.2217136663529148
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0045,0,185,00185.csv,1.0819793880779518,,,,
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0045,1,186,00186.csv,,0.0726283309114013,0.2456528800380537,0.0726283309114013,0.2456528800380537
charge,[2010.       7.      21.      17.      25.      40.671],4,B0045,2,187,00187.csv,,,,,
impedance,[2010    7   21   20   31    5],24,B0045,3,188,00188.csv,,0.065086717668146,0.2144103420624745,0.065086717668146,0.2144103420624745
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0045,4,189,00189.csv,0.927952404748273,,,,
charge,[2010.       7.      21.      22.      38.      43.484],4,B0045,5,190,00190.csv,,,,,
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0045,6,191,00191.csv,0.885193608411576,,,,
charge,[2010.       7.      22.       3.      14.      53.218],4,B0045,7,192,00192.csv,,,,,
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0045,8,193,00193.csv,0.8581010699478283,,,,
charge,[2010.       7.      22.       7.      50.      21.625],4,B0045,9,194,00194.csv,,,,,
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0045,10,195,00195.csv,0.8409352213456689,,,,
charge,[2010.       7.      22.      12.      25.       3.656],4,B0045,11,196,00196.csv,,,,,
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0045,12,197,00197.csv,0.8245471942901911,,,,
impedance,[2010.       7.      22.      17.       3.       7.062],24,B0045,13,198,00198.csv,,0.0715678008449157,0.2291740966485048,0.0715678008449157,0.2291740966485048
charge,[2010.       7.      22.      17.      34.      59.312],4,B0045,14,199,00199.csv,,,,,
impedance,[2010.     7.    22.    20.    40.    25.5],24,B0045,15,200,00200.csv,,0.0649676213639743,0.2113722499969527,0.0649676213639743,0.2113722499969527
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0045,16,201,00201.csv,0.7935960418803983,,,,
impedance,[2010.       7.      23.      11.      35.      36.875],24,B0045,17,202,00202.csv,,0.070859051106216,0.225367827470576,0.070859051106216,0.225367827470576
charge,[2010.      7.     23.     12.      7.     29.25],4,B0045,18,203,00203.csv,,,,,
impedance,[2010.       7.      23.      15.      12.      59.218],24,B0045,19,204,00204.csv,,0.065834534585151,0.2248199871981467,0.065834534585151,0.2248199871981467
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0045,20,205,00205.csv,0.8183676087159205,,,,
charge,[2010.       7.      23.      17.      17.      36.625],4,B0045,21,206,00206.csv,,,,,
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0045,22,207,00207.csv,0.7977644276409412,,,,
charge,[2010.       7.      23.      21.      50.      50.578],4,B0045,23,208,00208.csv,,,,,
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0045,24,209,00209.csv,0.7993777411831636,,,,
charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0045,25,210,00210.csv,,,,,
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0045,26,211,00211.csv,0.7783107440628891,,,,
charge,[2010.       7.      24.       6.      55.      11.046],4,B0045,27,212,00212.csv,,,,,
discharge,[2010    7   24    9   56   39],4,B0045,28,213,00213.csv,0.7803738231239117,,,,
impedance,[2010.       7.      24.      11.      30.      35.656],24,B0045,29,214,00214.csv,,0.0727161166535298,0.2372893249261043,0.0727161166535298,0.2372893249261043
charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0045,30,215,00215.csv,,,,,
impedance,[2010.       7.      24.      15.       7.      54.015],24,B0045,31,216,00216.csv,,0.0663305435341286,0.226688422968848,0.0663305435341286,0.226688422968848
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0045,32,217,00217.csv,0.7713058245640294,,,,
impedance,[2010.     7.    27.    17.    47.    10.5],24,B0045,33,218,00218.csv,,0.0737939171143506,0.234028051491713,0.0737939171143506,0.234028051491713
charge,[2010.       7.      27.      18.      19.       3.281],4,B0045,34,219,00219.csv,,,,,
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0045,35,220,00220.csv,,0.0662571640532643,0.20403871987566,0.0662571640532643,0.20403871987566
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0045,36,221,00221.csv,0.795279016979026,,,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0045,37,222,00222.csv,,,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0045,38,223,00223.csv,0.7824128169919247,,,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0045,39,224,00224.csv,,,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0045,40,225,00225.csv,0.7649414992231182,,,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0045,41,226,00226.csv,,,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0045,42,227,00227.csv,0.7544899426779375,,,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0045,43,228,00228.csv,,,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0045,44,229,00229.csv,0.7504048978314295,,,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0045,45,230,00230.csv,,0.0740708544033771,0.2471243345321351,0.0740708544033771,0.2471243345321351
charge,[2010.       7.      28.      18.       7.      53.906],4,B0045,46,231,00231.csv,,,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0045,47,232,00232.csv,,0.0677762743960447,0.2253467282921095,0.0677762743960447,0.2253467282921095
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0045,48,233,00233.csv,0.7407258109620256,,,,
